founder,event_count,follow_count,fan_count
云音乐智能推荐,4,3,502.84
KillBunny,1,26,219.57
______飏,160,218,29.1
孤单又灿烂的神丨鬼怪,103,47,40.53
chaz1,32,56,335.75
Lscheese,50,97,48.12
宸极Cody,0,111,26.63
我鲁班不坑,26,1,152.39
沐辰style,2,68,21.45
Vxe-,6,95,9.32
HUMAN00,158,249,282.31
RJH国荣,1,9,16.79
冷森Listen,44,118,181.43
3KALIA,17,56,16.06
宝藏男孩咕咕,4,18,25.06
想养金毛的Apple,10,26,109.54
野猫不乖哦,0,2,4.06
云音乐智能推荐,4,3,502.84
KillBunny,1,26,219.57
______飏,160,218,29.1
孤单又灿烂的神丨鬼怪,103,47,40.53
chaz1,32,56,335.75
Lscheese,50,97,48.12
宸极Cody,0,111,26.63
我鲁班不坑,26,1,152.39
沐辰style,2,68,21.45
Vxe-,6,95,9.32
HUMAN00,158,249,282.31
RJH国荣,1,9,16.79
冷森Listen,44,118,181.43
3KALIA,17,56,16.06
宝藏男孩咕咕,4,18,25.06
想养金毛的Apple,10,26,109.54
野猫不乖哦,0,2,4.06
mayuko然,1426,19,1872.72
w柚w,37,8,10.15
爱打篮球的亮亮,7,10,15.24
Dexter_RV,3,22,4.52
茉瑾年,121,18,71.4
k二月来的洛瑶,18,129,8
柠檬木有枝,2658,188,1109.88
yxich01,30,182,9.9
爱老薛的坨坨,0,11,3.37
金州拉文fmvp,1,22,12.01
陪雨柔长大,0,3,10.22
Amber丶Queen,744,7,130.2
DISABLEman,87,97,20.83
念念念安娜,48,42,91.4
希望你每天都快乐yo,1,2,1.21
妍橙儿,0,5,17.46
喜爱吃糖的小小高,0,47,4.22
活该你风生水起,266,26,768.73
大白分享库,1,15,2.93
少年的半岛铁盒,582,200,155.97
爆肝工程师的狂想曲,287,43,65.76
时寁,10,27,5.96
惜白啦,5,6,5.72
她的水彩笔,426,66,387.41
LEYOONAFRIEND,0,4,45.24
今晚磕到死,7,64,5.98
欧美老猫,1762,319,125.44
迟到得到,59,16,64.73
这眼前美景与谁叙,6,106,3.08
ZRBSX,3,53,4.51
超爱吃火锅的o,1,4,0.83
Avada阿瓦达啃大瓜,21,85,18.16
NeilShine_,8,99,31.96
西柚甜,115,0,90.31
小sun是太阳,1,3,3.42
却与蝉声乱了琴,1,2,1.6
螚安Vivienne,2411,0,504.72
假衣,2,10,2.61
你的温柔既残酷,17,82,5.8
半颗番茄xi上学中,1,5,1.91
#NAME?,76,48,1.18
陪我去抓水母好吗,2,6,10.3
一生向海,186,140,72.7
FlyingClub,144,22,216.31
shakemyhead,189,101,215.67
Q子阳,1,12,1.5
Miss风范,81,29,30.16
-KooTo-,2378,1,488.64
YouTube视频推荐,8113,19,5970.87
宁遇夏,2813,18,899.29
喪甜老爹,0,0,107.34
雨露xixi,7,11,2.2
点落雨声轻叹,0,8,0.22
-情殇雨夜-,72,18,114.96
You和Basketball,0,8,2.91
Kaleidoscott,77,74,33.08
小攀哟,371,155,1535.75
Gotnofears_Show,2,52,1.73
小铁Joe,61,43,140.5
小耀AAA,2,4,16.74
柒柒柒如是,46,23,2.34
gentlemenc,1,12,2.06
于_怀_,4,14,1.81
小豪小豪是个乖宝,7,51,97.41
濑红莉栖,61,4,13.68
一只傻高天,4,5,3.54
桑菲尔德L,32,19,31.43
十三逆旅Cobain,114,40,34.9
仇远旭a,0,1,366.42
好好啃书,11,19,3.32
NickJonasCN,795,137,34.56
欧美音乐杂货铺,5244,429,209.39
SIRTEEN_Beijing,131,96,48.79
金暗洙,35,100,152.64
JeanaChong,178,11,2.54
Audrey江挽,119,5,1.78
--仙气撩人--,50,19,2.4
宇宙徒步旅行家,74,7,93.15
Ceaoee,184,30,133.42
还找得到吗,18,9,2.35
Joceah,7,103,5.3
Gucanbt040,0,2,1.89
远房小姑,2,5,1.34
大祸祸-二文,901,0,692.18
楼船夜雪天,1028,108,80.34
余志枭,0,53,1.29
灵魂超市收破旧灵魂没人要的灵魂,362,77,132.82
樱桃味音乐,415,15,72.25
李小楚,43,23,4138.43
云村_阿宇哥呦,1,0,1.46
格格酱GG,17,10,52.98
逗比笑一个n,1,30,1.39
航鶴鶴收藏家,54,130,14.67
爱吃饺子的毕业生,221,41,50.15
邹海国,9,9,0.51
EricCheng-,112,87,67.37
许硕安_,2,3,1.68
oreo灵,5,31,23.86
谢宇航啊,30,444,0.95
下一颗巧克力,794,77,546.75
情思天鹅,4764,42,2561.14
云音乐歌单之友,892,238,2079.43
迟到情书,352,21,943.14
小困吃饱了-,38,12,1.74
Double_TRAP,0,2,0.01
不哴酒精嗜号灯,51,17,1.89
山河暮归,27,101,122.14
田秋飒,136,117,19.74
欧美驿站,0,5,0.14
TeMpT-y,11,4,6.51
艾琳艾德勒丶,274,161,871.99
兮香,4,9,13.93
璎璎qaq,0,4,2.06
cwyxbmlike,4,4,0.48
抖音小程序,4,4,2.12
赛赛尔啊,12,48,11.7
陌路繁华-,984,373,76.73
NickyRomero,754,288,746.65
博儿要努力奋斗up,3,2,1.99
倒闭的才华有限公司,6,24,2.11
鹿北浠,97,49,104.11
原点FM,602,80,2206.4
温柔网友随心先生,0,1,1.57
_卋罖_,7,0,0.98
TaylorSwiftUpdates,1341,39,104.76
soAoAyEDM,2145,423,204.71
Sauce420,24,218,8.43
超级喜欢喝可乐,0,3,0.03
梵浩-,0,10,0.49
酥糖今天笑了嘛,0,6,1.35
-nullllun-,0,0,56.38
你尽管哭有人安慰你算我输,1,9,2.31
dd只会嘤嘤嘤,0,107,1.27
BAEK-J,37,37,96.52
pure日月,1740,87,544
Papi_Yolanda,3,22,0.49
梧桐影木丶,34,35,11.39
早就不i了,1,0,2.56
Areal肥阳,665,272,533.92
仲山奥理,46,86,2
没有茗梓,0,11,0.61
荒墨Kurihara,109,105,186.65
谐星七十六号,691,433,83.8
师兄不叫思松,87,202,68.75
olly的牙缝,147,135,405.1
DEF-X,2,105,1.87
迈克-W,1,7,12.75
白羊爱上了双子,6,10,1.53
Babyheart2,13,15,0.15
言云清,3,70,1.15
欢欢-e,0,0,1.79
pppeepsi,11,17,1.03
Thunder_bee,29,1221,15.11
傻傻傻傻傻了,287,0,145.11
DjRcheng,4,62,9.37
星空君说宇宙,0,5,8.98
尤文杰BBLin,48,95,8.91
Nurali-FM,61,763,21.18
SaSaSNSD,2,13,0.49
你是人间失策,0,6,3
hentai小绅士-,24,124,54.57
时光如水你好,1628,139,368.44
DJstrong,1,1,0.68
可你怎么总是忘记我很爱你,240,30,200.55
不知名追星少女,1,27,1.02
宇宙播报机,23,97,11.25
蝶影丛虫,0,53,209.34
Hu-cares_,1,1,0.44
传说中的蛙神,0,27,0.2
节奏水枪Beat_WaterPistol,0,11,15.15
鱼骨与飞鸟集,73,6,120.73
酒心怪獸,518,10,8.15
YoakeNatsu,20,75,47.67
麦月二七_,13,17,0.71
hhhiiiioo,0,4,0.04
流亡大街,3,180,45.72
Monstercat,1111,50,830.9
含着别吐,17,0,3.19
OedoKuipers,20,72,1.27
喝勺你的蛋白粉,1,5,6.69
望你眼中风起,553,43,114.28
ClairoToday,964,130,44.84
吴爱星双子,0,2,4.29
乐瑥x,15,62,3.49
正在高考的VY,0,56,82.49
Aog君,4,7,7.46
幽情花儿开,0,4,0.21
自问归处,0,3,0.51
哔哩哔哩音乐娘,43,78,223.94
喜欢就关注鸭,78,13,90.64
无法阻止自己堕落但浪漫不死,5,4,1.7
salaMu_,29,113,6.33
拯救世人的逗比,0,24,0.64
空气很颓废,678,70,463.45
听说你也在等雨晴,1,3,4.79
TRIPHOPP,161,61,4.06
执白j,14,21,0.59
宇智波Show,11,39,12.74
雪佛兰迈锐宝XL,0,2,0.99
LARE季风,0,25,0.87
-crystall-,8,5,1.37
阡屿_,3,7,0.48
原创君,7563,748,5290.72
xylitol-x,2,17,2.56
LovelyWICK,288,337,17.27
百龄容与,14,44,1.45
长夜看海,16,11,119.18
Re-End,1,19,1.49
Spyromun_,5,87,70.44
郭峰瑞Rui,5,9,11.88
-XxxGreyen-,115,67,74.54
吳-文-樂,37,1041,2.07
MusicalTimes,5035,111,305.64
小石头叔蜀,3,21,0.94
硬地原创音乐榜,56,40,81.35
烈雨,836,325,806.67
国风堂音乐企划,139,16,3587.93
会是猫的薛定谔,19,13,1.79
HHHHalsey,28,132,1.41
YellG-,10,127,0.88
冻鲫鱼,46,65,6.59
六年网易人,330,24,43.9
浩酱w,0,1,3.97
你今天真真真好看,27,43,27.79
宝藏男孩Simon,65,93,11.61
隐匿于蓝,12,30,23.2
Eliaukjuly,14,82,0.3
好色痞和尚啸先生,7,18,1.4
LeoOfficial,112,85,84.44
生活委员,2053,116,112.3
糯米小鲶鱼,0,11,0.69
苏打_苏打绿,9,14,6.11
何木期,0,3,5.71
夢燈籠-Cc,6,19,0.65
修行者之虚无,5,8,0.44
喜恶灵_,1,0,0.85
G1ockieD,4,7,0.63
2020最流行抖音歌曲,8,5,0.42
A-Yari,143,219,77.9
EdgarBob,0,27,0.27
早安达人,18,0,0.03
湫川,11,23,0.96
佐仓小小千代,543,437,630.77
剑仙xg,9,4,3230.55
池予xing,0,54,0.52
心动TroyeSivan,16,165,0.45
峯哥牛逼,19,13,7.19
小羊爱喝安慕希,3,9,0.59
蜜糖男孩,80,16,64.14
唯梦小战神,0,11,0.53
__八臂哪吒,1,1,1.33
你说是吧张小姐,0,13,2.04
CohenPu24,19,75,0.76
摇滾乌托邦,8,55,281.92
盼你多添一笔,2,1,0.93
Avendure,16,19,1.03
-秦琅-,0,6,0.36
XXXSUICIDE,11,28,1.44
辭別九州190127,30,18,0.28
爱听歌的狗大叔,48,10,178.38
归航有时,12,25,1.49
是在偷看月亮吗,12,58,0.42
陈易大叔,0,4,0.38
战1辞噗噗噗,0,0,1.96
钟泽希,33,54,229.16
君子别动口,10,11,0.63
橘子味儿的小笼包,10,5,0.14
GnaScheY,16,17,2.25
小小洛NaMI,36,160,0.41
西门子家电,0,0,1.01
Spectual,3448,672,311.77
Nurfefe-official,753,6,112.43
顾奈文案馆,115,75,39.97
音乐收藏者010,0,73,0.8
海绵宝宝不喜欢黄色,13,27,0.13
Galaxy银河映像,37,7,1.7
沐歌0720,654,357,1.87
纸长情短1998,20,25,0.26
i看美剧,59,24,53.25
fantab01,35,28,1.69
贩卖故事的少年,222,19,25.7
浪漫仅供参考,57,44,13.42
KarmaTenzing,3,5,5.15
ChelseaLucifer,0,56,0.05
后原,38,0,63.81
TJ_KING,101,12,17.87
_wy彩x,16,21,0.42
是社长吖,3334,55,1737.92
后现代养猪专业户,12,70,2.62
糊里糊涂的傻妮,5,17,0.64
奈小乐_CIwd,2,57,0.66
小晗爱吃鳗鱼饭,1,178,10.99
抖音热门中文DJU盘,10,9,0.45
白搭a,2,19,0.21
Kite汐倾,1,36,1.17
隔壁佬郝人,12,25,1.31
秋月和诗,40,46,24.08
久我山不是山,10,1,5.16
羊羊小毛衣,0,13,34.09
网易音乐人木然,222,5,29.79
路游里,14,9,50.6
叫我温老师,15,44,11.81
予妳晚风,6,2,27.6
稀饭奶盖-,20,25,12.07
WandWOfficial,521,3,2120.68
野比沁沁,184,13,2.85
独行的棕鹿,925,30,1115.89
月溪影月晴,1,3,0.73
天不生沈小巍,0,2,0.49
鸭头_张辞慕,0,16,0.8
硬体PlagueOutbreak,251,88,23.63
我自清欢丨被嫌弃的唐唐的一生,158,428,48.91
你在我眼中真的很特别k,4,5,0.23
艾克-Aik,3,12,2.27
围豆,2,24,0.1
MaYX呢,3,19,0.5
井頸,1,6,0.47
loupurple,49,0,9.6
我没有熬夜,0,1,11.89
云音乐樱花酱,407,10,333
真草莓味鸡胸肉,219,92,44.16
以顾淮,2,11,0.45
Hama啊,6,98,0.42
浪漫散文诗,49,99,10.71
酥先生在吗,0,1,3.39
小街那愿,5,23,0.58
充气马桶,2,38,1.16
奈奈生晴子,25,29,0.4
烟紫色的猫,27,73,0.5
张斯麒,11,70,116.73
AlexWernberg,104,337,5.62
鼻毛壮汉,115,72,0.36
会写情书的老太婆,33,0,2.73
王唯灿,29,59,6.58
流年忧光影,415,7,429.11
YouTube热门日推,10574,327,3739.06
邓蕤桐,26,1,9.69
你喜欢阑珊吗,0,9,0.3
循光,429,374,96.06
天才麻瓜少年,2233,667,48.38
星际怪客-艾斯卡尔和佐培尔,7,16,0.58
周二下午八点,5,257,4.94
Tao-YuUp,2,61,0.68
仙女爱吃香菜_,0,4,0.27
百事可乐中国董事,1,8,18.24
#NAME?,2,13,0.64
用户2130026413,13,193,2.24
一个酷爱听歌的骚年,3,31,276.97
与银河对视,1034,12,293.35
WZy_Bi,4,42,7.06
若水玖惜,1,647,0.41
白净亭,301,22,882.62
原来网易云的名字真的可以超级长,24,16,1.48
pop-out,8,18,0.51
Charlie_Puth资讯,4030,169,154.69
儒雅随和LILITI,53,282,0.99
PSYKE_MUSIC,57,9,50.19
K-O-R,132,21,32.56
爱吃栗子的fairy_,8,0,0.57
黄子韬是底线biepeng,0,0,0.51
luckyboy周大发,2,80,114.73
翠花花呀,61,69,2.19
DjFoRRay,10,704,9.41
臣服温柔_SUGA,0,57,5.04
FeverJ,4574,259,52.77
帐号已注销,20,105,8.93
芦娃还是小学生,13,29,0.18
草右山一几,0,16,1.02
welphenEDM,11430,670,8353.07
Flowing-light-years,1,24,0.27
请你一直开心,221,54,5.86
子沫M,165,98,15.9
小福贵咖啡RICHIE,114,13,9.41
RYON-JAY,70,348,10.43
Wanune,6,1,5.7
风之君临,5146,100,230.13
梦梦超努力,0,21,0.44
_今夜月亮邮递员_,0,17,0.29
听说你在等风起,2,2,0.84
花花甜莓日系,0,49,0.54
曲库小护士,155,257,1471.37
薛定谔的缝纫机,646,157,503.39
拓荒者2015,196,295,0.9
shu舒克_,1,43,5.54
杂七杂八_NXC,0,67,0.22
冷艳争春喜烂然,453,395,0.82
仍未飘落的雪,165,75,1.7
zhaoshuya-,0,3,0.43
OKeith,212,106,10.65
你也不曾忘记吗,0,50,0.23
Ferhat吸血鬼,16,1,23.15
AOSAEK,3,42,0.44
鹿白川,863,24,1284.16
霓虹小知音Nihonico,55,126,61.39
江辞超nice,1,2,0.14
君若一盏清茗,85,34,15.2
錦篞学妹,10,34,0.5
intropinrevivan,9,24,79.33
来大碗香菜,0,69,0.37
欢酹,40,43,44.14
Kolerchn-,74,94,16.05
菠菜含有铁,4,9,0.09
Enwar-722,29,519,17.48
-----Vincent----,190,10,0.78
正在数月亮,84,103,0.47
岛屿Soliloquy,585,125,194.06
5938ruzi,119,297,0.82
Bzstrive,27,72,34.99
ARMyphoria伊柾,867,55,14.17
Jo太_,0,64,147.2
恨禁,36,1,47.32
初萌子,91,185,4.57
Slim_Dyane,14,33,20.12
苏奕杰,56,25,109.31
阿麟等佩奇的爱,0,13,0.29
喜欢处女座的说唱歌手-孟琦,28,74,34.99
柯迪基柯,14,4,1139.17
清晨丢了,5,29,4.81
Unexplainable,686,289,46.73
高呗,0,19,0.58
Junopple,14,19,0.68
Sanubar_Tursun,11,40,223.63
RNG子轩,17,45,0.21
攀狼Sir,3,16,6.43
小调调DT,4,5,0.35
ChokeWhale,546,152,46.63
#NAME?,0,9,0.33
安瑟尔ii,90,17,9.09
lilcool19,0,4,0.78
Fu疯狂犯罪ck光哥,22,3,0.29
gioanna,24,73,1.95
Yxxxi_,0,77,0.33
性案,0,0,7.63
卡哇伊哦a,17,4,924.44
薄荷猫晒太阳,716,291,147.52
亟待解决66,116,113,2.99
minnn1801,3,67,1
lyovte,3,22,0.12
叶逐天,71,1284,68.69
Pistazien,572,69,147.38
红毛要九_biu,407,21,10.64
TExxv,11,62,20.01
ZONEWEE,4,7,0.35
飞行棋的猫mor,75,11,60.52
Z-Y-04,0,1,0.2
Blue_sky_smile,2,4,0.06
AJklf,0,1,0.54
Aa丶冰雪碧,0,11,0.04
叶航成女友粉,2,34,0.28
Ablajan-Awut-Ayup-专享营,12,3,2.68
萌娘Max,89,593,13.27
GdistanceY,3,8,0.23
有容01,19,27,2.58
ServerHeng,47,223,0.61
海岛度假Santorini,3658,297,392.1
AK爱小妹妹,0,1,0.11
alim_721,4,0,0.54
林寒叶,1,4,0.21
S安奕,0,45,0.44
fffffeb,9,11,0.3
babeejoey,18,72,0.47
消逝的洛依成,0,38,30.55
铺垫先生,245,131,5.47
愿唯_VdmR,1,15,0.22
流云薇眠0114,9,0,0.41
临l城,9,33,0.46
G-DRAGON--_-,1,38,0.17
是耀温顺,67,7,1471.12
PB火云,2,40,0.29
荞荞荞麦面,1,30,0.12
JazzLove,10,34,28.39
是月月哦QWQ,10,16,10.31
一桶热可可,82,58,9.46
NiezzZzzz,1,9,4.83
Vincent梵高先生,8,9,0.42
老爹揍扁了阿福,9,144,0.29
华晨宇全球歌迷会,491,8,582.89
四季里的懒睡猫,1,13,60.4
我们再重蹈覆辙好不好Re,0,18,2.53
MARIA-HILFT,8,45,0.26
雨秋-昴子,196,156,25.94
别忘Ctrl-s,13,39,0.47
蘼桜,228,23,54.09
只是一只小猫咪x,13,30,0.33
真咸鱼饼干,2,22,9.17
烟雾男孩Smogboy,6,148,1.55
c17869,0,2,0.95
熊肉日记,20,39,0.56
黑马音乐秀,17,28,9.09
lovzeros,12,21,7.06
Whas_up,5,17,1.32
Kesha_EDM,320,286,13.24
SCARBOIT,0,124,0.34
qhostbaby,2,4,0.31
HolyGrail98888,81,1,95.71
Deosi,18,1,0.31
JoeyKim,1,3,0.14
l友人B,124,31,14.21
车车车车车车贤啊,11,4,0.21
大锤Hammer,0,35,6.74
CallMeProphet,47,16,6.74
NULL-DreamKiller,126,75,1.68
炸肉,5,59,0.18
jens_peter,26,58,0.15
奇怪的猫先生,1,39,0.05
FunYH-,4,14,0.54
舒芙蕾蕾蕾,3,2,0.03
munjeongyi,2,21,0.04
少女掠夺哈_木马,29,143,1.7
天神院院长,8197,388,51.53
娇娇-HY,2,16,0.29
帅的SHT,12,36,8.14
月亮解忧店,402,172,230.19
不弧,1,1,42.51
Aimee_玉儿,0,4,0.02
Tetraethyl-lead,0,20,0.09
芣婹谁唻怜惜,0,12,0.25
SanderVanDoorn,61,91,36.64
玫lin,10,46,0.08
Ekko-7,429,279,60.04
謬湝,17,16,0.08
我爱洗澡我爱洗澡我爱洗澡,0,18,0.13
ks搜索还在,0,6,0.16
养猪的小王啊,1,8,0.34
landsa,4,2,0.23
和你漫入银河,14,175,3.6
鲸落遇鹿,1,95,0.74
是喪尸,233,28,81.11
你的顾柒柒_cc,75,144,30.37
梦芙,7,8,0.44
亏普,2806,104,202.12
Munisa_Rizaeva,28,529,286.87
_南鸽先生_,19,3,2.75
今天和猪蹄一起玩,0,7,1.68
良人眷属,0,10,0.1
HSY凪,1,8,3.52
COAST_MUSIC,349,2,81.71
COSMIC_DREAM,8,8,50.28
笑脸是悲伤的面纱C,15,10,3.76
Crime-Angel,32,57,0.29
实习秧歌巨星,0,9,0.09
GOCHEN4L,13,11,0.19
雪村透,2149,17,17.21
快乐收藏音乐者,8,45,0.5
DJRIBBIT,1,60,0.39
肆爷宝贝,7,93,0.13
feisihnglaai,2,96,5.75
浮梵闪亮亮,2,13,0.08
江辉巨,0,3,0
到达终点,128,3,0.02
Rhaast,14,33,21.81
我要逃学威龙,21,54,11.38
蚕豆音乐娘,25,56,173.09
小新星爱听歌,66,5,0.91
xxxwizkhalifa,4,36,0.28
附窗子酱,6,57,0.34
葬月飘零Dovah,7,29,0.85
Aelief-东宫,4,27,2.15
Dessen_58,2,5,0.16
HarkingZhong,34,30,29.49
Lauv,386,10,8801.39
我有一堆好歌单,7,49,0.62
艺术是人优质魅力的体现,2,20,0.35
空虚小编,1951,408,2739.64
刘墨言啊,0,1,0.09
IrvingBrooklyn,15,11,0.26
小魏阿丶,0,34,0.2
郑帝元的宝贝贝,0,111,0.06
大刘在网易云避难,2,47,0.36
环球音乐国际部,1424,78,2689.53
斯布雷德,1,51,0.37
小米渣吖吖,1,18,0.24
珩萧雨溪,42,339,4.49
HelloVampire0,33,51,1.27
不着棋,13,28,0.33
尽力局jfx,0,0,0.19
陌涵Moan,63,15,16.09
秋刀鱼爱起司猫,0,20,0.08
高旻老公,44,43,167.99
-弘木-,150,666,27.99
云村看门大爷,0,29,0.11
墨汁r,4,19,0.48
Ezekielzz,4,30,0.83
吴小夫夫夫,1,0,0.51
EVILD0G,1,8,15.03
翩然而至x,6,31,0.19
KID_tilXLHI,5,15,3.85
BilalEnwer,117,48,2163.1
WLU-Sunny,65,2,3.37
mirror镜子先生,18,34,4.05
掌上Club,5,1,514.7
是阿辞辞啊,0,21,1.25
K1star_,0,148,6.1
李尸僵,93,70,0.71
死後長眠,0,3,1.1
常住在黑名单,0,8,0.11
Jermyn-y,6,27,0.88
Anwar-Turak,14,8,8.15
诺七ya,0,1,0.15
苦口师kks,0,3,0.41
咖啡影音,90,7,284.54
fragilefairy,140,35,0.9
在山,2,4,1.23
甲鱼cjy,0,9,0.15
钉钉_cF,0,4,0.03
Nicole稚子,2,47,0.79
温柔的玖,0,1,0.41
浪琴表Longines,0,3,0.12
北方易先生,368,0,291.28
刘路遥小朋友,0,6,0.25
杰希不会Outoftune,0,3,3.68
我最近又膨胀了,61,50,3.44
Jesse-Qian,395,22,2.24
BeerBadBlood,20,53,35.79
KIRIN_Music,242,50,41.74
csthinking,2,25,0.18
一只小菠萝__,15,12,0.3
辽宁运气之王,15,8,7.31
没错我是蒋印钲Chiang_,4,44,0.72
AsuraZ,1,10,0.14
亦七r,0,1,0.08
决劣,34,0,53.45
张林白,0,3,0.03
这首歌让我感到陶醉,0,0,0.16
Screensho,1,25,0.1
每天过得都像复制粘贴般,7,41,2.18
TrapTV,659,0,69.49
约翰谢尔比A,2,2,0.91
ChenGa陈嘎,0,17,0.12
jueldz,0,17,0.35
chen__AORQ,0,3,0
飞船集团,2,3,0.01
LunarTinSau,0,8,3.65
言鸿_,2,16,0.15
小小的世界66,12,5,11.35
天黑见,3,9,3.08
HGrand,36,65,19.14
余生xiaozhan,0,73,1.81
Cover城南花已开,0,8,1.33
今天雷雨大风4-5级,24,6,0.05
斑马小说家,0,20,0.08
李雨科-lyk,13,10,0.01
puppy的士高,77,22,3.24
送酒十五,27,21,7.28
清风ikk,0,19,0.62
西柚_,803,75,414.25
戴墨镜的白眼狼,0,3,0.14
莫离-Nice,4,16,15.07
曦曦追燃记,0,2,0.03
桑乔维塞,1,10,0.09
九歌南辞,0,0,0.07
ConorMcGregor6666,1,17,0.14
折耳月,75,49,2.54
uglywhenIcry,1,41,12.01
隐嫟,0,1,27.91
VxxxMusika,2,2,0.02
Ormars,26,4,5.05
Kingdown133,0,3,0.31
天生我儿必可爱,160,71,0.22
不为你MM,35,3,3.42
吴非遥,1,3,0.04
Kalen邱志凯,15,66,15.82
LovdX,0,6,10.62
划破天空的归鸟NA,15,43,0.07
祝己年少有为,19,12,9.67
SLDesign,28,8,15.76
国服第一AD西,2,6,20.97
密罗洲,84,178,1.74
R1SE-何洛洛,1,0,11
华纳音乐国际,684,66,132.18
想和你捞月亮,1,112,0.11
杀杀玩,6,66,0.24
Nerdynuts,6,26,0.93
AliKiroran艾力楼兰,2184,45,106.85
MarshmelloMusic,847,8,13138.73
TAI乐之声,0,3,0.51
BIAO丶ET,21,2,0.09
瘦子那么多为什么就不能是我呢,0,2,0.07
京东,1,0,0.74
分裂小丑在哥谭等你,204,2000,1.65
一里秋和,0,3,0.12
极致动听,30,86,0.97
我想到重建星空的可能,23,10,1.99
_xCaG,7,1,1.65
密斯特温,21,177,101.56
废弃谷倉io,13,61,0.66
夏日小熊糖,5,11,1.41
libinhao-,1,10,1.3
pudding嘟,0,8,0.14
_swbl_,16,10,0.18
神奇的闪电猫,2,12,0.1
呐彭七岁呐,14,66,6.39
阿帅困辽,2,3,1.12
孙宇瑶Grasheyl外加一个小樱桃,26,115,7.03
eStar丶Ser,76,2,0.92
Softpi,0,7,0.1
Yxxxx鸭,0,2,0.39
SkrXun,1,41,1.06
某科学的魔法禁书目录,17,73,2.62
说唱HIPHOP,171,0,56.44
TooSweet-,24,26,0.06
棕鹿与独角兽,40,24,48.01
GUSTOM_,12,273,0.49
君顾者,0,12,0.17
金陽先生,15,18,1.4
Barbell_is_Medicine,4,50,0.13
O-5议会,28,1999,2.69
拉入深渊,0,2,0.03
采薇采薇w,6,114,0.37
是大大_呀,21,42,10.16
Linskual,0,12,1.14
游研社官方,38,3,41.76
--_-_-_-_-_-,229,80,0.81
关月风_CBJ,13,2,32.74
sonofsunofs,618,344,5.39
衾琳儿,11,13,1.12
后期混音找killerJ,79,151,20.04
你的名字挺奇怪,30,6,0.07
yeyiiiii,12,60,0.2
Refl_Official,5,43,7
Sakura雫,108,319,57.04
死于街头暗处,0,6,0.12
唐汉霄SeanTang,77,32,448.23
Yzz李轶哲,135,275,129.55
救赎xxoo,0,32,0.07
SplitWorks,106,26,345.48
小告爱听歌,0,7,0.35
纪晨屿,2,0,16.66
大狸子和小栗子,89,29,0.89
方知有xk,1,5,1.32
Daisy毅東,2,24,0.77
AJIMUSTANG,34,4,58.44
LlKe赵,7,21,3.23
Jungle_Official,35,50,19.33
云音乐VIP,546,16,183176.63
曾经你许谁的天荒,6,18,1.07
__TwChow,0,4,0.36
棉花糖Edm,83,8,1.8
狸克不是岛主,7,7,0.04
CnZjY,27,30,0.93
ablat-s,34,114,61.79
eeeeezus,48,50,1.29
Jiemarr,12,54,4.08
崔板栗,1,36,0.18
乐之拾荒者,20,13,1.2
暖心民谣syx,3,8,5.16
空山鹤行,15,20,15.71
iambeiqing,19,4,11.96
今天也很爱你鸭鸭鸭鸭鸭鸭鸭鸭鸭,0,3,0.1
网易云精品歌单,0,7,3.19
恋恋故人难,36,9,500.24
不回到年级前20不改名,0,10,0.1
Coral-Young,0,9,0.08
佐木y,34,180,8.8
工藤吹一,112,15,0.2
你的挽长-,582,208,276.88
Yeah-Sir,69,50,10.35
OnderdeAurora_极光之下,349,343,16.76
Tumurhan-Rozi,22,5,14.99
